good morning,早上好；早晨
genetical,adj.,遗传的
genetics,n.,遗传学
genome,n.,基因组
genre,n.,（文艺作品的）类型,体裁
gentle breeze,微风 
gentleness,n.,温柔；文雅
geographical location,地理位置 
geography,n.,地理
geology and climate,地质与气候 
geometric,adj.,几何的
geometrical,adj.,几何的
geometry,n.,几何学
geophysics,n.,地球物理学
germ-free,adj.,无菌的
germinate,v.,（使）发芽
germination,n.,发芽
germs,n.,细菌（复数）
get ... done right away,马上做完 
get ... done straight away,马上做完 
get a good deal,捡到便宜 
get a move on,快点 
get a prize,获奖 
get along with,与…和睦相处 
get better service,得到更好的服务 
get education,接受教育 
get exhausted,筋疲力尽 
get hold of,抓住；得到 
get into sth,进入；陷入 
get married,结婚 
get off,下车 
get off track,偏离正题 
get on,上车；进展 
get pleasure,获得乐趣 
get sb.,into shape,帮助某人恢复体形 
get sth.,into shape,把某事整理好 
get the most from,从…中获得最大收益 
get their pension,领养老金 
get through,通过；接通电话；用完 
get to grips,开始认真处理 
get total relaxation,得到完全放松 
get up,起床 
get-together,n.,聚会
ghetto,n.,贫民区
gift shop,n.,礼品店
gifted child,n.,天才儿童
gifted people,n.,有天赋的人
gifts,n.,礼物（复数）
gigantic,adj.,巨大的；庞大的
gill,n.,鳃
gimmick,n.,花招；噱头
gin,n.,杜松子酒
ginger,n.,姜
girl club,女孩俱乐部 
gist,n.,主旨；要点
give a prescription,开药方 
give advice,提建议 
give children encouragement,给孩子鼓励 
give full weight,给足重量 
give notice of moving in,提前通知入住 
give off a weak light,发出微弱的光 
give rise to,引起；导致 
give sb.,a sack,解雇某人 
give short weight,缺斤短两 
give the morning call,提供叫醒服务 
give up life for thrills,为寻求刺激而冒险 
given name,n.,名字
given tutorial topics,给定的辅导主题 
gizmo,n.,小玩意儿
glacial,adj.,冰川的；极冷的
glacier,n.,冰川
glamor,n.,魅力
glamorise,v.,美化
glamorous,adj.,迷人的；富有魅力的
glamourous,adj.,迷人的；富有魅力的
gland,n.,腺
glare,v.,怒视；发出刺眼的光
glass roof,n.,玻璃屋顶
glassware,n.,玻璃器皿
glazing,n.,玻璃窗
glide,v.,滑行；滑翔
gliding,n.,滑翔
glitter,v.,闪闪发光
global market,全球市场 
global payments,全球支付 
global statement,全局声明 
global variable,全局变量 
global view,全球视野 
global warming,n.,全球变暖
globalization,n.,全球化
globe-trotter,n.,环球旅行者
glorify,v.,赞美；美化
glory,n.,光荣；荣誉
gloss,n.,光泽；注释
glossary,n.,词汇表
glossy,adj.,光滑的；有光泽的
glossy advertisement,精美广告 
gloves,n.,手套（复数）
glucose,n.,葡萄糖
glutamate,n.,谷氨酸
gnawing,adj.,折磨人的
go-slow,n.,怠工
goal,n.,目标；球门；得分
goal net,n.,球门网
goal post,n.,门柱
goal shooting,n.,射门
goggles,n.,护目镜
goldfish,n.,金鱼
golf course,n.,高尔夫球场
good cause,n.,正当理由
good fortune,n.,好运
good health,n.,身体健康
good listener,n.,好的倾听者
good profit margin,良好的利润空间 
good quality leather,优质皮革 
good quality stuff,优质的东西 
good works,善行 
good-bye,int.,再见
goods to declare,需申报物品 
goose,n.,鹅
gorge,n.,峡谷
gorge,v.,狼吞虎咽
gorgeous,adj.,极好的；华丽的
gorilla,n.,大猩猩
gosh,int.,天哪
gospel truth,n.,绝对真理
gourmet,n.,美食家
government agencies,政府机构 
government bill,n.,政府法案
government election,政府选举 
government grants,n.,政府拨款
government official,n.,政府官员
government organ,n.,政府机关
government policy,n.,政府政策
government relief,n.,政府救济
governmental,adj.,政府的
gown,n.,礼服；长袍
gracious,adj.,亲切的；仁慈的
graduate school,n.,研究生院
graduation ceremony,n.,毕业典礼
graduation certificate,n.,毕业证书
grail,n.,圣杯；梦寐以求的东西
grain,n.,谷物；颗粒
granary,n.,粮仓
grandeur,n.,宏伟；壮丽
grandfather clock,n.,落地钟
granite,n.,花岗岩
granular,adj.,颗粒状的
grape juice,n.,葡萄汁
grape skin,n.,葡萄皮
grape stone,n.,葡萄籽
grapefruit,n.,葡萄柚
graphically,adv.,形象地
graphics,n.,图形；制图学
graphology,n.,笔迹学
grass court,草地网球场 
grass skirt,n.,草裙
grasses,n.,草（种类）
grasshopper,n.,蚱蜢
gratifying,adj.,令人满意的
gratuity,n.,小费
gravel,n.,碎石
graze,v.,吃草；擦伤
greasy,adj.,油腻的
great success,巨大成功 
greatly,adv.,非常；大大地
greedy,adj.,贪婪的；贪吃的
green pepper,n.,青椒
green space,n.,绿地
green tax,n.,环保税
green tea,n.,绿茶
greenhouse effect,n.,温室效应
gregarious,adj.,爱交际的；群居的
grenade,n.,手榴弹
greyhound,n.,灰狗
grieve,v.,（使）悲伤
grill,n.,烤架
grill,v.,烧烤；盘问
grim,adj.,严峻的；冷酷的
grimy,adj.,肮脏的
grin,n.,露齿笑
grin,v.,露齿而笑
grinding,adj.,刺耳的；没完没了的
groan,v.,呻吟；抱怨
groom,n.,新郎；马夫
groom,v.,打扮；梳理（毛发）
grope,v.,摸索
grossly,adv.,非常；严重地
groundbreaking,adj.,开创性的
group discussion,小组讨论 
group interview,小组面试 
group meetings,小组会议 
group size,团体规模 
group travel,团体旅游 
group trip,团体旅行 
groups,n.,团体（复数）
grove,n.,小树林
growing,adj.,日益增长的
growth opportunities,成长机会 
grumble,v.,抱怨；发牢骚
guessing,v.,猜测
guesswork,n.,猜测
guild,n.,协会；行会
guinea,n.,几尼（旧时英国金币）
guitar,n.,吉他
gulf,n.,海湾；巨大分歧
gullibly,adv.,轻信地
gunpowder,n.,火药
gush,v.,涌出；迸发
guzzle,v.,狂饮；暴食
gymnasium,n.,体育馆；健身房
gymnast,n.,体操运动员
gymnastics,n.,体操
gynecologist,n.,妇科医生
gypsophila,n.,满天星
habitable,adj.,适于居住的
habitation,n.,居住；住所
habitual,adj.,习惯性的
habituation,n.,习惯
haemoglobin,n.,血红蛋白
hair brush,发刷 
hair-raising,adj.,令人毛骨悚然的
hairdressing,n.,美发
hairdryer,n.,吹风机
hairdye,n.,染发剂
hairs,n.,毛发（复数）
hairy,adj.,多毛的
half human,半人 
halfback,n.,（足球）中卫
halfway decent,还算过得去 
halfway line,n.,中线
hall of residence,n.,（大学）宿舍
hallmark,n.,特点；标志
hallowed,adj.,神圣的
halma,n.,跳棋
halve,v.,把…减半
hamlet,n.,小村庄
hammer out,敲定；达成 
hammock,n.,吊床
hamster,n.,仓鼠
hand drill,手钻 
hand in glove,密切合作 
hand out,分发 
hand over,v.,移交
handball,n.,手球
handbook,n.,手册
handedness,n.,用手习惯
handicapped,adj.,残疾的
handicapped,n.,残疾人
handicraft,n.,手工艺品
handkerchief,n.,手帕
handler,n.,处理者；驯兽师
handling,n.,处理；操作
handmade,adj.,手工制作的
handout,n.,讲义；宣传单
handouts,n.,讲义（复数）
handrail,n.,扶手
hang on,等一下；坚持住 
hang on to,紧紧抓住 
hang over,笼罩；悬而未决 
hang-gliding,n.,悬挂式滑翔运动
haphazard,adj.,随意的；无计划的
happening,n.,事件
happiness,n.,幸福；快乐
happy atmosphere,快乐的氛围 
happy childhood,快乐的童年 
happy memories,快乐的回忆 
harass,v.,骚扰；烦扰
harbours,n.,港口（复数）
hard seat,n.,硬座
hard sleeper,n.,硬卧
hard working,adj.,努力工作的
hard-core,adj.,核心的；顽固的
hard-hoofed,adj.,硬蹄的
hard-wired,adj.,硬连线的；固有的
hard-won,adj.,来之不易的
hardback,n.,精装书
harden,v.,（使）变硬；（使）变坚强
hardware store,n.,五金店
hardwired,adj.,固有的；硬连线的
hardy,adj.,耐寒的；强壮的
hare,n.,野兔
harm,n.,伤害；损害
harm,v.,伤害；损害
harmful,adj.,有害的
harmonica,n.,口琴
harmonise,v.,（使）和谐
harridan,n.,泼妇
harshly,adv.,严厉地
harshness,n.,严厉；严酷
hash,n.,剁碎的食物；哈希值
hash function,哈希函数 
hash table,哈希表 
hashable,adj.,可哈希的
hassle,n.,麻烦；困难
hassle,v.,烦扰
hasty,adj.,匆忙的；草率的
hatch,v.,孵出；策划
hauler,n.,运输公司
haulier,n.,运输公司
haunting,adj.,萦绕于心头的
have ... in common with,与…有共同之处 
have a better mood,心情更好 
have a different focus,有不同的重点 
have a flat tire,轮胎瘪了 
have a get-together,聚会 
have a good figure,身材好 
have a good foundation,有良好的基础 
have a great stay,祝您住得愉快 
have a little think,稍微想一下 
have a lot of pressure,压力很大 
have a lot of toys,有很多玩具 
have a picnic,野餐 
have a rest,v.,休息一下
have a sweet dream,做个好梦 
have a vivid understanding,有生动的理解 
have a word with ... 和…谈谈 
have better sense of beauty,有更好的审美 
have delicious food and snacks,有美味的食物和零食 
have dinner out,在外面吃晚饭 
have dinner together,一起吃晚饭 
have faith in colleagues' ability,相信同事的能力 
have freedom,有自由 
have fresh fruit,吃新鲜水果 
have fun,玩得开心 
have greater inventions or creations,有更伟大的发明或创造 
have high expectations,有很高的期望 
have homework to do,有家庭作业要做 
have jiao-zi,吃饺子 
have more choices,有更多选择 
have more confidence,更有信心 
have more curiosity,更有好奇心 
have more customers,有更多顾客 
have no interest,没有兴趣 
have patience,有耐心 
have patience and responsibility,有耐心和责任心 
have pressure,有压力 
have relaxation,放松 
have sense of achievement,有成就感 
have similar taste and texture of beef,有类似牛肉的口感和质地 
have some privileges,有一些特权 
have some talk,聊一聊 
have strong body,身体强壮 
have strong competition,竞争激烈 
have strong drive,有强大的动力 
have strong hearts and lungs,心肺功能强大 
have tea,喝茶 
have the feeling,有感觉 
have the peace of mind,心安 
have the sense of achievement,有成就感 
have the skill of observation,有观察能力 
have their game time,有他们的游戏时间 
have what they want,得到他们想要的 
haven,n.,避风港；避难所
havoc,n.,大破坏；浩劫
hawk,n.,鹰
hawk,v.,兜售；清嗓子
hawthorn,n.,山楂
hazardous,adj.,危险的
hazelnut,n.,榛子
head for,前往 
head office,n.,总部
head passing,头球传球 
head start,n.,领先的开端
head-on,adj.,迎面的；正面的
header,n.,标题；页眉
headphone,n.,耳机
headphones,n.,耳机
heal,v.,（使）痊愈
healing,n.,康复；治疗
health and fitness centre,健身中心 
health care,n.,医疗保健
health check,n.,健康检查
health club,n.,健身俱乐部
health department,n.,卫生部门
health problem,n.,健康问题
health service,n.,医疗服务
health system,n.,卫生系统
healthcare,n.,医疗保健
healthy food,健康食品 
healthy lifestyle,健康的生活方式 
heart attack,心脏病发作 
heart disease,心脏病 
heart rate,心率 
heartless,adj.,无情的；狠心的
heater,n.,加热器；暖气
heating operation mode,加热运行模式 
heavy ball,重球 
hectare,n.,公顷
hectic,adj.,忙碌的
hedge,n.,树篱；防范措施
hedge,v.,用树篱围住；回避
hedonism,n.,享乐主义
heed,v.,注意；留心
heir,n.,继承人
heiress,n.,女继承人
helium,n.,氦
helix,n.,螺旋形
helmet,n.,头盔
help desk,n.,服务台
help relax and unwind,帮助放松 
help the poor,帮助穷人 
help wanted,招聘 
helpline,n.,求助热线
hemisphere,n.,半球
herald,n.,预兆；先驱
herald,v.,预示…的来临
herb,n.,草药；香草
herbal,adj.,草药的
herbalism,n.,草药学
herbalist,n.,草药医生
herbivore,n.,食草动物
herbivorous,adj.,食草的
hercules,n.,大力神
herd of cattle,牛群 
herds,n.,兽群（复数）
herdsman,n.,牧人
hereditary,adj.,遗传的；世袭的
heredity,n.,遗传
heroic deed,n.,英雄事迹
heroics,n.,英雄行为
heterogeneous,adj.,异类的；由不同成分组成的
hex,n.,巫术；魔咒
hexadecimal,adj.,十六进制的
heyday,n.,全盛时期
hi-fi,n.,高保真音响
hibernation,n.,冬眠
hiccup,n.,嗝
hidden,adj.,隐藏的
hierarchical,adj.,等级制度的
high cost,adj.,高成本的
high heels,n.,高跟鞋
high jump,n.,跳高
high quality camera,n.,高质量相机
high school,n.,中学；高中
high score,n.,高分
high seas,n.,公海
high season,n.,旺季
high temperature,n.,高温
high-definition,adj.,高清的
high-level language,高级语言 
high-lighter,n.,荧光笔
high-quality,adj.,高质量的
higher education,高等教育 
higher-order function,高阶函数 
highland,n.,高地
highly-trained,adj.,训练有素的
hijack,v.,劫持
hike,n.,远足；徒步旅行
hike,v.,远足；徒步旅行
hiker,n.,徒步旅行者
hiking,n.,徒步旅行
hiking boots,登山靴 
hilarious,adj.,非常滑稽的
hillside,n.,山坡
hilly land,丘陵地带 
hindquarter,n.,（动物的）后腿及臀部
hindquarters,n.,（动物的）后半身
hindrance,n.,障碍；阻碍
hindsight,n.,事后聪明
hinge,n.,铰链
hinge,v.,取决于
hinterland,n.,内地；腹地
hip-hop,n.,嘻哈音乐
historical city,n.,历史名城
historical events,n.,历史事件
historical film,n.,历史片
historical maps,n.,历史地图
historical photograph,n.,历史照片
historical place,n.,历史遗迹
historical play,n.,历史剧
historical sights,n.,历史名胜
historical sites,n.,历史遗迹
history,n.,历史
history museum,n.,历史博物馆
hit back,还击 
hit the brakes,刹车 
hit-list,n.,暗杀名单
hitherto,adv.,迄今为止
hockey,n.,曲棍球
hockey stick,n.,曲棍球棒
hold-up,n.,耽搁；持械抢劫
holder,n.,持有者；支架
holding,n.,持有的股份；土地
holiday inn,n.,假日酒店
holiday maker,n.,度假者
holidays,n.,假期
holistic,adj.,整体的
holistically,adv.,整体地
holy,adj.,神圣的
home buyer,n.,购房者
home environment,n.,家庭环境
home news,n.,国内新闻
home phone,n.,家庭电话
home visit,n.,家访
home-made meal,n.,家常便饭
homemade,adj.,自制的
homesick,adj.,想家的
homestay,n.,家庭寄宿
homicide,n.,杀人
homogeneous,adj.,同质的；同类的
homogenize,v.,使均匀
homogenous,adj.,同质的
honeymoon,n.,蜜月
honk,v.,按（汽车喇叭）
honking,n.,喇叭声
honoraria,n.,酬金
honorary,adj.,荣誉的；名誉的
honorary award,荣誉奖 
honorary degree,荣誉学位 
honour system,荣誉制度 
honourable,adj.,可敬的；光荣的
honours student,n.,优等生
hood,n.,头巾；兜帽；引擎盖
hoof,n.,蹄
hooliganism,n.,流氓行为
hoop exercise,呼啦圈运动 
hoover,n.,吸尘器
hoover,v.,用吸尘器吸尘
hooves,n.,蹄（复数）
hop,v.,单脚跳
hop-on hop-off,随上随下（的观光巴士） 
hopefully,adv.,但愿
horizontal bar,n.,单杠
horizontally,adv.,水平地
hormonal,adj.,荷尔蒙的
hormone,n.,荷尔蒙；激素
horrify,v.,使恐惧
horse hair,n.,马毛
horse riding,n.,骑马
horses,n.,马（复数）
horticulture,n.,园艺
hose,n.,软管
hospitality,n.,好客；殷勤
hospitals,n.,医院（复数）
host family,n.,寄宿家庭
hostage,n.,人质
hot air balloon,n.,热气球
hot dog,n.,热狗
hot drink,n.,热饮
hot issues,n.,热点问题
hot pepper,n.,辣椒
hot pot,n.,火锅
hot-air balloon,n.,热气球
hotel boy,n.,酒店服务员
hotel manager,n.,酒店经理
hotel register,n.,旅客登记簿
hotel vestibule,n.,酒店门厅
hotelier,n.,酒店经营者
hotels,n.,酒店（复数）
hothouse,n.,温室
hourglass,n.,沙漏
hourly,adj.,每小时的
hourly,adv.,每小时地
hourly wages,小时工资 
house agency,房产中介 
house insurance,房屋保险 
